INCIDENT_MONTH,TIME_OF_DAY,PHASE_OF_FLIGHT,ALTITUDE_GROUP,DISTANCE_GROUP,SPECIES,SIZE_CLEAN,NUM_STRUCK,AC_CLASS,AC_MASS,TYPE_ENG,NUM_ENGS,FAAREGION,STATE,SKY_CLEAN,Damage_Binary
3,Night,Approach,Unknown,Unknown,Mallard,Medium,2-10,A,4.0,D,2.0,AGL,IL,No Cloud,0
3,Dawn,Approach,0-500 ft,Unknown,Unknown bird - small,Small,1,A,4.0,D,3.0,ASW,TX,Overcast,0
3,Day,Landing Roll,0-500 ft,0 NM,Killdeer,Small,2-10,A,4.0,D,2.0,ASO,GA,Some Cloud,0
3,Night,Approach,Unknown,0 NM,Brazilian free-tailed bat,Small,1,A,4.0,D,2.0,ASO,NC,No Cloud,0
3,Day,Landing Roll,0-500 ft,0 NM,Unknown bird - small,Small,1,A,4.0,D,2.0,AWP,CA,Some Cloud,0
3,Dusk,Descent,Unknown,Unknown,Common goldeneye,Medium,2-10,A,4.0,D,2.0,AGL,MI,Some Cloud,0
3,Night,Landing Roll,0-500 ft,0 NM,Cliff swallow,Small,1,A,4.0,D,2.0,AWP,CA,Overcast,0
3,Night,Approach,"1,501-3,500 ft",0-5 NM,Unknown bird,Unknown,1,A,4.0,D,2.0,AEA,PA,No Cloud,0
3,Night,Take-off Run,0-500 ft,0 NM,Snowy owl,Large,1,A,4.0,D,2.0,AGL,ND,Overcast,0
3,Dawn,Take-off Run,0-500 ft,0 NM,Mourning dove,Small,1,A,4.0,D,2.0,ASO,FL,No Cloud,0
3,Day,Landing Roll,0-500 ft,0 NM,Cliff swallow,Small,2-10,A,4.0,D,2.0,AWP,CA,Some Cloud,0
3,Day,Take-off Run,0-500 ft,0 NM,Franklin's gull,Small,1,A,4.0,D,2.0,ASW,TX,Overcast,0
3,Night,Approach,"501-1,500 ft",0-5 NM,Unknown bird,Unknown,1,A,4.0,D,2.0,ASO,TN,Some Cloud,0
3,Day,Climb,"3,501-10,000 ft",Unknown,Lesser scaup,Medium,2-10,A,4.0,D,2.0,ASO,TN,Overcast,1
